"playerID" "firstname" "lastname" "born" "skill.base" "strength.base" "speed.base" "wit.base" "aggression.base" "skill.coe" "speed.coe" "strength.coe" "wit.coe" "age" "strength" "speed" "wit" "skill" "aggression" "rand" "league" "ELO"
"1" 1027 "Orman" "Florent" 100 479.600221826681 545.615258674668 580.796889936886 606.219689694778 592.911327882691 -0.104017692296807 0.0256083429368887 -0.0967362836269823 0.264411444341796 33 454.641398153079 508.550602380535 730.137932053723 429.713313527233 592.911327882691 0.771484213415533 "S" 1303
"2" 1043 "Oliver" "Darry" 102 643.593927288968 744.242278119767 477.263031752709 592.198631706644 490.666452699882 -0.0417795284667218 -0.139706532023884 0.0555441034342559 -0.0973302400372504 31 755.810857071007 362.859965548062 475.33993356224 616.70487648279 490.666452699882 0.730826779501513 "S" 1277
"3" 1079 "Priestley" "Tully" 104 646.541236807744 626.379999651416 611.719256252383 681.131377026013 415.664979698032 -0.0198126438786966 0.109467610568592 0.0173735925260294 -0.0791298545000306 29 649.790070524842 648.096738760509 531.875157482897 614.335308425747 415.664979698032 0.310098226414993 "S" 1276
"4" 1045 "Jack" "Wylde" 102 480.983547967847 579.70102249904 464.887293614614 774.703663402018 403.287806244625 0.20609840360851 0.0760105997654239 0.0688343522825955 0.018970501978133 31 596.416326000358 453.734926264124 711.929814440851 580.113489365978 403.287806244625 0.677655792795122 "S" 1272
"5" 999 "Joshua" "Hollard" 98 593.776794176333 548.477317722878 666.131078008907 620.814985243267 375.095747453879 -0.179579263437073 0.00964255744871099 0.0753856308599689 0.142468456351787 35 529.492121382284 545.989380375287 696.845238166068 487.146794832121 375.095747453879 0.921835397137329 "S" 1252
"6" 1077 "Webster" "Cuy" 104 501.212850764669 660.696847030877 473.584096444289 585.26834760811 319.947194098835 0.0564431763320483 0.0864172804857693 0.128662379897555 0.0165030557008131 29 758.917612701298 490.8307413181 512.989495083474 514.466510557328 319.947194098835 0.217777150683105 "S" 1228
"7" 1170 "David" "Wylde" 111 533.621613968948 438.460975767534 568.744360802217 724.403637874166 421.265283828485 0.0140083428592158 -0.0169849340607336 0.14331884235132 0.0753095137634997 22 474.993036684715 536.334500904488 576.125105006213 450.381094119792 421.265283828485 0.85773818474263 "S" 1221
"8" 1130 "Christopher" "Westerling" 108 441.291451504271 486.942377960378 540.880990421744 566.249181285951 467.423992730704 0.210871290296714 0.0551279151013884 -0.184972581755584 0.0528218807622128 25 406.610236702051 603.151491166973 471.584708138629 485.805089614417 467.423992730704 0.877918878337368 "S" 1218
"9" 1075 "Harm" "Jordayne" 104 774.492440280274 456.585925683168 452.433021237126 588.156526325907 241.028775264302 0.0837739362408526 0.0940564024395063 0.183278359953069 -0.00590184832990457 29 549.399963833697 472.365592497671 502.343402027661 816.139947382928 241.028775264302 0.439787815557793 "S" 1212
"10" 1101 "Destrie" "Connington" 106 433.470780415829 562.417859193108 646.079415888392 584.541350951287 629.204587502473 0.0312347597484285 0.0776767332759704 0.087234147247298 0.0756846005248253 27 639.600794496125 709.186342669218 523.564686417045 416.667181470973 629.204587502473 0.610261276597157 "S" 1205
"11" 1097 "Mateo" "Reed" 106 426.039221273795 550.059569720771 596.051415317614 499.789694320373 478.410657882004 -0.0326086754251254 0.193778117429655 0.1266444649415 0.0487271567221888 27 647.224548100049 723.474164775495 434.18088010599 382.323901099739 478.410657882004 0.502557664178312 "S" 1205
"12" 1093 "Brandon" "Ashford" 105 471.69614361624 775.137695474635 565.513127214534 448.011888063223 668.511356041444 0.120913405130668 0.0530871411959565 -0.0408915084992675 0.00506516879438599 28 766.69527667627 595.534602447139 378.599241808039 505.145723347072 668.511356041444 0.399549381574616 "S" 1202
"13" 995 "Samwell" "Darry" 98 525.95814097597 528.672437841319 598.082042481499 485.357212389893 683.26463465786 0.0696288686863194 0.0404600379053629 0.0292292291082004 0.0882784112498185 35 485.971157487628 508.644876519332 518.496631740516 562.580011308486 683.26463465786 0.0392520555760711 "S" 1192
"14" 1122 "Theodore" "Caron" 108 547.375805147029 555.656047929594 552.255045106197 603.494266471393 355.436678289243 0.106088632319243 0.108395735981801 0.059718028096372 -0.114719786964289 25 599.951852370364 645.252439876518 401.492794163918 545.234817113548 355.436678289243 0.322428467450663 "S" 1192
"15" 1059 "Isaac" "Mason" 103 462.199023337836 575.23075026219 592.81032755165 515.110375724959 631.492870824315 0.0504843961627742 0.111361690632666 0.126351048851015 0.0502830397231446 30 647.911758889173 617.329964923691 479.198446122346 480.910871704693 631.492870824315 0.453176460927352 "S" 1190
"16" 1071 "Luke" "Ashford" 104 616.531166667289 579.594059850878 484.783625685629 492.264060790713 393.704514198446 -0.0672138579790691 0.0947462344182751 0.192018676221464 0.128016273407409 29 702.478825166285 506.475867442699 486.364902874839 556.595793391225 393.704514198446 0.214757506269962 "S" 1182
"17" 898 "Roman" "Blackmont" 91 465.876245853 534.707580067325 454.213634301538 612.718406734706 615.576648095497 0.00962248103023037 0.027974031829601 0.0768148466393556 0.276250733132612 42 426.062938408246 307.94504895939 781.982315799014 426.10088783512 615.576648095497 0.10907103586942 "S" 1179
"18" 954 "Dylan" "Tyrell" 95 689.939385179554 607.940616042644 496.305336100792 539.609623308417 555.699916478958 0.125763863478724 -0.0271633070553923 0.0355899279962597 0.110971320347819 38 520.147867905928 358.747707837859 599.490815679341 745.66155549279 555.699916478958 0.748723585624248 "S" 1176
"19" 1176 "Charles" "Sarsfield" 112 536.58304138899 572.378611630114 587.94842978572 512.022269173062 640.670728076134 0.075962171753686 0.10041957908704 -0.00816579473363543 -0.000728042482474735 21 516.190610330909 611.713057842545 358.042814457212 480.758107089078 640.670728076134 0.560771004995331 "S" 1175
"20" 965 "Ilja" "Thorne" 96 716.622874729281 566.473242694781 598.078966355754 557.416318750275 732.172329470986 -0.067502441998483 0.114641201249068 0.14063428837206 -0.0525054480933224 37 555.50308523181 523.104505575198 528.148925159761 646.750394451203 732.172329470986 0.179204848362133 "S" 1170
